序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5014,600592,龙溪股份,16.8,-3.5,-0.61,341834.0,585222494.0,6.49,17.88,16.75,17.28,17.41,1.01,8.56,30.4,2.69,6712499993.0,6712499993.0,0.06,0.12,61.69,71.08
5015,000019,深粮控股,6.89,-3.5,-0.25,226189.0,156895264.83,3.78,7.12,6.85,7.12,7.14,0.52,5.43,24.35,1.64,7940967900.0,2867731044.0,-0.14,-0.14,10.42,4.87
5016,603062,麦加芯彩,48.39,-3.51,-1.76,19499.0,94687799.0,5.56,50.29,47.5,49.46,50.15,0.83,5.87,24.78,2.54,5226120000.0,1607554512.0,0.0,-0.35,38.53,34.45
5017,301092,争光股份,28.56,-3.51,-1.04,63486.0,185065738.0,6.11,30.29,28.48,29.98,29.6,1.08,14.7,37.13,2.06,3828567503.0,1233217487.0,-0.07,-0.35,23.42,22.42
5018,605296,神农集团,29.04,-3.52,-1.06,45587.0,133312503.0,4.15,30.1,28.85,30.1,30.1,0.75,0.87,23.8,3.24,15241324908.0,15195214035.0,-0.03,0.0,10.33,4.84
5019,605300,佳禾食品,14.27,-3.52,-0.52,76195.0,109307991.0,3.52,14.66,14.14,14.48,14.79,1.1,1.9,58.84,2.26,6484267979.0,5708142700.0,-0.14,-0.14,15.45,6.18
5020,830964,润农节水,8.18,-3.54,-0.3,135858.0,111856504.17,4.36,8.45,8.08,8.4,8.48,0.76,8.89,268.8,2.4,2136681440.0,1249990078.0,0.0,0.0,16.03,16.52
5021,000975,山金国际,20.98,-3.54,-0.77,464461.0,980618085.55,4.78,21.85,20.81,21.39,21.75,0.94,1.87,26.81,4.49,58255633120.0,52179348202.0,-0.1,-0.29,26.31,36.5
5022,301160,翔楼新材,88.05,-3.54,-3.23,24808.0,222293396.14,5.67,93.19,88.01,91.48,91.28,0.63,5.59,34.49,4.27,7136744298.0,3907453579.0,-0.03,-0.16,41.49,58.36
5023,300941,创识科技,24.24,-3.54,-0.89,268133.0,672210942.15,10.15,26.3,23.75,24.2,25.13,2.11,22.11,131.54,3.93,4963140000.0,2939839005.0,0.04,-0.12,2.45,-20.0
5024,300527,中船应急,7.89,-3.55,-0.29,314498.0,249998514.92,3.55,8.14,7.85,8.12,8.18,0.71,3.19,-78.78,3.0,7786030022.0,7786030022.0,0.0,-0.13,3.0,-2.23
5025,000507,珠海港,5.43,-3.55,-0.2,390251.0,214168115.25,3.2,5.6,5.42,5.55,5.63,0.6,4.32,15.69,0.95,4994160480.0,4899693999.0,-0.18,-0.37,9.26,6.47
5026,600032,浙江新能,8.39,-3.56,-0.31,298941.0,252524695.0,2.64,8.6,8.37,8.6,8.7,0.6,1.24,23.51,1.62,20175225968.0,20175225968.0,0.0,-0.12,20.89,13.38
5027,688136,科兴制药,34.28,-3.57,-1.27,51096.0,180249873.0,9.4,37.0,33.66,35.56,35.55,0.7,2.56,217.39,4.19,6843736330.0,6843736330.0,-0.32,-0.35,101.41,56.82
5028,002639,雪人股份,7.57,-3.57,-0.28,683625.0,521326892.35,5.99,7.97,7.5,7.77,7.85,0.72,10.51,130.63,2.37,5848598487.0,4924904271.0,0.0,-0.13,14.52,10.51
5029,688052,纳芯微,202.58,-3.58,-7.52,36448.0,744222488.0,4.63,210.5,200.78,205.26,210.1,0.51,3.9,-71.67,4.86,28873409957.0,18908929227.0,-0.15,-0.63,59.41,55.47
5030,688458,美芯晟,37.46,-3.58,-1.39,19910.0,75448856.0,3.4,38.7,37.38,38.52,38.85,0.34,2.37,-62.51,2.21,4178162122.0,3144712346.0,0.0,-0.11,13.69,14.38
5031,688693,锴威特,31.07,-3.6,-1.16,14938.0,46688546.0,6.58,32.88,30.76,32.88,32.23,0.61,3.93,-23.56,2.53,2289368436.0,1180143057.0,0.0,-0.16,-4.19,-11.58
5032,688072,拓荆科技,152.8,-3.61,-5.73,24808.0,383831938.0,3.27,157.98,152.8,157.53,158.53,0.75,1.6,62.08,7.99,42742609230.0,23721985010.0,-0.1,-0.1,2.2,-0.57
5033,301036,双乐股份,36.36,-3.63,-1.37,37675.0,138083792.01,5.22,38.1,36.13,37.9,37.73,1.11,5.35,28.1,2.22,3636000000.0,2561039652.0,-0.14,-0.16,-6.36,-7.24
5034,300945,曼卡龙,12.2,-3.63,-0.46,141061.0,173757620.0,5.92,12.85,12.1,12.66,12.66,0.86,5.92,31.11,2.0,3197273874.0,2907662563.0,0.16,-0.16,-1.85,6.18
5035,603536,惠发食品,10.07,-3.64,-0.38,482684.0,508297609.0,10.72,11.1,9.98,10.79,10.45,2.38,20.07,-148.53,5.48,2463547961.0,2422159858.0,0.1,0.1,-6.85,-13.78
5036,002193,如意集团,5.02,-3.65,-0.19,165880.0,84287098.07,4.8,5.23,4.98,5.15,5.21,0.88,6.34,31.06,1.03,1313812061.0,1313804531.0,0.0,-0.2,-29.59,-11.31
5037,688488,艾迪药业,10.79,-3.66,-0.41,54461.0,59776834.0,5.09,11.36,10.79,11.1,11.2,0.6,1.29,-34.95,4.58,4540246498.0,4540246498.0,-0.19,-0.46,45.81,37.28
5038,300960,通业科技,24.92,-3.67,-0.95,30417.0,76435474.0,5.64,26.04,24.58,25.8,25.87,0.75,3.27,52.06,4.13,2558396723.0,2316921923.0,0.04,-0.08,14.79,-1.11
5039,300719,安达维尔,15.23,-3.67,-0.58,82922.0,127088053.6,4.17,15.8,15.14,15.67,15.81,1.03,4.62,280.54,3.71,3879026934.0,2735614610.0,-0.2,-0.2,-8.75,-14.96
5040,002707,众信旅游,8.41,-3.67,-0.32,755419.0,642053349.0,6.76,8.89,8.3,8.88,8.73,0.95,9.15,50.19,9.36,8264633428.0,6939992762.0,0.0,0.0,20.49,13.8
5041,600462,*ST九有,1.31,-3.68,-0.05,189544.0,24816712.0,5.15,1.36,1.29,1.36,1.36,2.47,3.16,-16.16,-21.06,808374800.0,786609150.0,-0.76,0.0,-8.39,-13.25
5042,600054,黄山旅游,12.04,-3.68,-0.46,187304.0,227129606.0,4.88,12.52,11.91,12.46,12.5,1.05,3.65,27.88,1.89,8781728458.0,6180132000.0,-0.08,-0.25,8.37,6.55
5043,603115,海星股份,13.06,-3.69,-0.5,42543.0,55486185.0,3.98,13.44,12.9,13.43,13.56,1.69,1.78,34.41,1.52,3123952000.0,3123952000.0,0.0,0.0,0.77,1.16
5044,300867,圣元环保,13.84,-3.69,-0.53,83226.0,115451228.0,4.11,14.24,13.65,14.18,14.37,0.79,4.34,20.65,1.02,3760896174.0,2652129056.0,0.07,0.0,10.1,7.04
5045,002574,明牌珠宝,6.0,-3.69,-0.23,401252.0,242409562.0,3.53,6.17,5.95,6.05,6.23,0.87,7.6,310.47,1.04,3168000000.0,3168000000.0,0.0,0.0,35.14,30.15
5046,002269,美邦服饰,1.81,-3.72,-0.07,1219020.0,221031525.17,4.26,1.87,1.79,1.86,1.88,0.84,4.85,65.82,8.66,4547625000.0,4547625000.0,0.0,-0.55,-23.95,-11.27
5047,001328,登康口腔,43.18,-3.72,-1.67,20355.0,88546026.75,4.41,44.71,42.73,44.58,44.85,0.85,4.73,47.28,5.27,7434464684.0,1858618330.0,0.19,-0.07,24.62,35.96
5048,301082,久盛电气,15.21,-3.73,-0.59,143780.0,224039802.2,6.77,16.27,15.2,15.94,15.8,0.7,13.42,127.63,3.19,3442162537.0,1629353835.0,-0.07,-0.46,-2.62,14.1
5049,000993,闽东电力,9.54,-3.73,-0.37,271713.0,261905909.01,3.33,9.85,9.52,9.75,9.91,0.68,6.18,25.8,1.74,4368856881.0,4195191837.0,-0.31,-0.21,15.64,14.25
5050,000524,岭南控股,13.12,-3.74,-0.51,519056.0,689146102.38,5.8,13.77,12.98,13.7,13.63,0.62,7.75,58.56,3.88,8793136793.0,8790401758.0,0.08,-0.15,36.24,35.54
5051,002557,洽洽食品,26.7,-3.75,-1.04,107764.0,291293883.48,3.46,27.64,26.68,27.5,27.74,0.94,2.13,15.84,2.42,13506330956.0,13477448899.0,-0.07,-0.11,-4.03,-7.13
5052,002496,辉丰股份,1.28,-3.76,-0.05,739234.0,93874128.5,9.02,1.33,1.21,1.32,1.33,1.5,6.26,1109.63,1.29,1929714787.0,1512174796.0,0.0,0.79,-28.49,-31.18
5053,605069,正和生态,8.71,-3.76,-0.34,139362.0,122593666.0,4.42,9.05,8.65,8.92,9.05,0.81,16.56,347.49,1.77,1843887646.0,733044731.0,-0.23,-0.23,12.97,14.15
5054,600936,广西广电,3.58,-3.76,-0.14,206385.0,74232206.0,4.03,3.7,3.55,3.67,3.72,0.76,1.24,-7.37,6.46,5982273936.0,5982273936.0,-0.28,0.0,26.5,24.31
5055,603102,百合股份,38.84,-3.77,-1.52,23483.0,91830592.0,5.9,40.49,38.11,40.36,40.36,0.75,6.55,17.65,1.52,2485760000.0,1392975432.0,-0.08,0.03,9.01,10.66
5056,002297,博云新材,6.37,-3.78,-0.25,284460.0,183676360.34,3.47,6.59,6.36,6.55,6.62,1.5,4.96,-54.3,1.78,3650677697.0,3650677697.0,-0.47,-0.62,-0.78,-7.41
5057,300923,研奥股份,21.15,-3.78,-0.83,32989.0,70499314.29,4.78,22.13,21.08,22.0,21.98,0.51,4.31,66.3,1.47,1662390000.0,1617308775.0,-0.33,-0.56,10.97,8.91
5058,688365,光云科技,11.67,-3.79,-0.46,122266.0,143287726.0,4.95,12.13,11.53,12.06,12.13,0.93,2.87,-59.94,5.2,4969374062.0,4969374062.0,0.0,0.09,-7.89,3.18
5059,603517,绝味食品,17.0,-3.79,-0.67,235976.0,405063309.0,5.04,17.77,16.88,17.68,17.67,0.59,3.89,21.47,1.61,10302032912.0,10302032912.0,-0.06,0.0,14.25,3.41
5060,688077,大地熊,22.3,-3.8,-0.88,27672.0,61935092.0,5.0,23.09,21.93,23.09,23.18,0.79,2.42,80.09,2.4,2552870639.0,2552870639.0,0.22,-0.31,-4.46,7.42
5061,300378,鼎捷数智,33.2,-3.8,-1.31,109555.0,366322959.63,4.98,34.6,32.88,34.3,34.51,0.69,4.06,135.45,4.33,9010241956.0,8951129356.0,0.0,-0.06,34.36,28.33
5062,000600,建投能源,6.31,-3.81,-0.25,976257.0,617728527.49,4.27,6.53,6.25,6.47,6.56,0.91,8.96,21.49,1.09,11416679063.0,6878221028.0,0.0,0.0,26.45,11.48
5063,000428,华天酒店,3.77,-3.83,-0.15,1806144.0,717842416.94,14.29,4.29,3.73,3.96,3.92,1.81,17.73,-25.82,2.36,3841351020.0,3841351020.0,0.0,0.0,19.3,17.81
5064,688591,泰凌微,38.41,-3.83,-1.53,77020.0,299722732.0,5.13,40.35,38.3,39.69,39.94,0.64,4.66,94.63,3.93,9218400000.0,6348935626.0,-0.05,-0.03,6.84,22.32
5065,600315,上海家化,20.8,-3.84,-0.83,73063.0,153232616.0,4.21,21.56,20.65,21.5,21.63,0.68,1.09,-17.4,2.08,13982300384.0,13982300384.0,-0.1,-0.24,29.19,23.0
5066,002562,兄弟科技,4.25,-3.85,-0.17,1116454.0,485436235.94,7.47,4.55,4.22,4.33,4.42,2.13,15.91,113.54,1.46,4520727299.0,2981497328.0,-0.47,-0.47,2.41,0.0
